Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,0.25,0.39,0.68,1.4,2.37,4,6.5,7.71,8.61,9.77,10.98,12.23,14.69,15.17,15.79,16.49
Australia,,0.64,1.33,2.62,5.07,9.96,18.96,21.93,24.9,24.02,24.91,24.7,25.13,25.84,27.84,28.69,30.56
Austria,2.36,3.96,5.54,7.35,10.59,14.22,17.28,19.51,20.74,22.44,24.38,24.8,25.01,26.03,27.32,28.29,28.96
Bahrain,,0.17,0.68,1.25,1.8,2.41,4.03,6.59,8.4,11.77,12.48,22.81,22.72,22.81,21.52,18.45,16.29
Belgium,1.4,4.46,7.87,11.93,15.46,19.06,23.09,25.52,27.67,29.03,30.84,32.18,33.31,34.34,35.75,36.51,37.6
Brazil,0.06,0.19,0.41,0.53,1.71,1.73,2.52,3.98,5.19,6.02,7.17,8.98,9.53,10.55,11.74,12.37,12.88
Canada,4.59,9.14,11.22,14.27,16.95,21.69,24.64,27.48,29.46,30.45,31.66,32.67,33.49,34.31,35.3,36.25,36.89
China,0,0.03,0.25,0.86,1.9,2.83,3.83,4.97,6.16,7.69,9.29,11.44,12.74,13.66,14.42,19.83,22.99
Croatia,,,,0.08,0.6,2.65,5.76,8.87,12.13,16.52,19.36,20.7,21.39,22.32,23.12,23.28,24.77
Czech Republic,0.02,0.06,0.15,0.34,2.3,6.91,10.8,14.45,16.88,19.42,21.46,23.74,25.1,26.96,28.26,27.79,28.93
Denmark,1.25,4.44,8.4,13.33,18.83,24.79,31.87,34.8,36.48,36.6,38.03,38.39,38.85,40.31,41.35,42.28,42.54
Dominican Rep.,,,,0.17,0.41,0.66,1.1,1.83,2.48,3.23,3.95,4.23,4.76,5.12,5.77,6.52,7.21
Egypt,,,0.07,0.07,0.11,0.18,0.33,0.6,0.95,1.31,1.73,2.15,2.61,2.98,3.34,4.08,4.67
Finland,0.67,2.58,5.25,9.4,15.26,22.33,27.08,30.52,30.41,29.3,29.06,29.8,30.44,31.64,32.21,31.56,31.11
France,0.33,1,2.75,5.89,10.78,15.47,20.64,25.42,28.61,31.67,33.85,35.91,37.68,39.02,40.46,41.68,42.74
Germany,0.33,2.58,3.93,5.47,8.57,13.21,18.37,24.28,27.99,30.83,32.34,33.68,34.49,35.25,36.29,37.58,39.07
Greece,,,,0.09,0.46,1.42,4.31,8.94,13.2,16.75,19.68,21.57,23.64,25.73,28.02,30.66,32.32
Hong Kong. China,6.67,10.66,15.37,18.69,22.31,24.3,26.18,27.53,27.89,29.4,30.86,32.54,31.73,31.27,31.71,32.4,35.96
Hungary,0.03,0.31,1.1,2.61,4.06,6.46,11.93,14.51,17.72,19.85,21.75,23.37,24.28,26.39,26.3,27.79,28.86
India,,0,0.01,0.01,0.02,0.12,0.2,0.27,0.44,0.64,0.89,1.07,1.19,1.17,1.22,1.29,1.41
Indonesia,0,0.01,0.02,0.03,0.04,0.05,0.08,0.33,0.42,0.78,0.94,1.11,1.2,1.29,1.33,1.54,2
Ireland,,,0.27,1.03,3.68,7.65,13.05,17.25,19.85,21.37,22.04,22.97,23.77,25.4,26.86,27.86,28.78
Italy,0.2,0.68,1.47,3.87,8.08,11.6,14.38,17.07,18.95,20.26,21.93,22.62,23.04,23.48,24.14,25.04,26.19
Japan,0.67,3,7.35,11.65,15.25,18.16,20.59,22.02,23.43,25.56,26.53,27.78,28.13,28.77,29.49,30.38,31.16
Jordan,,0.01,0.06,0.09,0.19,0.41,0.82,1.43,2.25,3.49,4.08,3.92,3.76,3.9,3.99,3.5,4.83
Korea (Rep.),8.17,16.39,21.68,23.16,24.58,25.03,28.72,29.98,31.44,33.11,34.7,35.9,36.54,37.35,38.1,39.58,40.47
Macao. China,0.87,2.23,3.78,6.04,9.59,14.1,18.69,21.93,23.64,24.01,24.6,25.05,25.7,26.36,27.43,28.28,29.07
Malaysia,,0.02,0.08,0.45,1,1.88,2.87,3.89,4.9,5.63,7.46,8.75,10.01,9.89,10.13,8.91,8.72
Mexico,0.01,0.05,0.22,0.41,0.99,1.77,2.74,4.03,6.63,8.35,9.02,9.71,10.82,10.4,10.49,11.72,12.58
Morocco,,,0.01,0.01,0.21,0.82,1.27,1.53,1.56,1.5,1.56,1.81,2.07,2.5,2.89,3.3,3.56
Netherlands,1.63,2.91,7.27,12.27,19.68,25.05,31.58,33.36,35.04,36.86,37.94,38.82,39.63,40.33,40.56,41.5,42.28
Norway,0.52,1.96,4.52,8.73,14.61,21.4,26.63,30.88,33.06,34.56,35.27,36.09,37.07,37.63,38.46,39.37,40.35
Poland,,0.03,0.32,0.51,2.28,2.46,7.59,10.89,11.64,14.6,15.29,18.19,17.98,18.35,18.89,18.99,19.17
Portugal,0.24,0.96,2.5,4.79,7.96,11.03,13.43,14.37,15.35,17.93,19.96,21.11,22.59,24.35,27.29,30.16,32.55
Romania,,0.03,0.07,0.9,0.48,1.76,5.13,9.28,12.09,13.64,14.68,16.18,17.56,18.89,20.11,21.44,22.49
Russian Federation,,,0.01,0.24,0.47,1.11,2.02,3.42,6.49,9.02,10.97,12.31,14.59,16.54,17.36,18.68,19.12
Saudi Arabia,,0.07,0.16,0.2,0.3,0.28,0.89,2.47,4.04,5.39,6.24,6.91,8.73,9.75,9.85,11.3,10.19
Singapore,1.76,3.76,6.54,9.82,12.48,14.61,17.08,19.57,22.08,24.84,26.38,27.21,27.18,27.86,27.05,26.85,25.99
South Africa,,,0.01,0.04,0.12,0.34,0.68,0.76,0.85,0.94,1.44,1.74,2.09,3,3.13,2.55,2.05
Spain,0.19,1.13,2.97,4.97,7.85,11.43,15.07,17.75,19.86,21.09,22.77,23.81,24.59,26.24,27.95,29.19,30.45
Sweden,2.8,6.6,9.42,12.23,15.68,27.9,27.36,30.34,31.43,31.62,31.94,31.98,32.21,32.74,33.87,35.81,37.41
Switzerland,0.79,1.94,6.28,10.75,16.71,22.53,27.4,31.49,33.43,35.43,37.2,38.82,40,42.28,42.1,44.67,45.13
Thailand,,0,0.01,0.02,0.25,0.85,1.36,1.95,3.11,3.92,4.84,5.77,6.66,7.62,7.95,9.07,10.48
Tunisia,,,0,0,0.03,0.17,0.43,0.93,2.18,3.54,4.53,5.2,4.84,4.72,5.09,5.09,5.62
Turkey,,0.02,0.03,0.3,0.86,2.34,4.03,6.83,8.17,9.04,9.81,10.34,10.55,11.73,11.51,12.14,13.21
United Arab Emirates,0.06,0.25,0.47,0.81,1.37,2.82,4.59,6.28,8.09,9.01,9.51,10,10.73,11.57,12.04,13.48,14
United Kingdom,0.09,0.56,2.29,5.23,10.23,16.42,21.4,25.41,27.89,28.5,30.25,32.26,33.75,35.64,36.5,37.75,38.29
United States,2.51,4.49,6.92,9.57,12.77,17.33,20.23,23.85,25.42,26.13,27.39,28.39,29.53,30.43,30.79,31.95,33
Viet Nam,,,0,0.01,0.06,0.25,0.61,1.51,2.36,3.67,4.15,4.29,5.28,5.63,6.48,8.18,9.61
Zimbabwe,,0.01,0.02,0.05,0.07,0.08,0.08,0.11,0.13,0.34,0.23,0.24,0.49,0.69,0.99,1.04,1.06
Average,0.96,1.44,2.03,2.73,3.79,4.86,6.45,7.47,8.61,9.82,10.3,11.03,11.49,12.29,13.27,14.25,14.04
