Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,7.04,9.78,10.88,11.91,16.04,17.72,20.93,25.95,28.11,34,45,51,55.8,59.9,64.7,68.04,70.97
Australia,46.76,52.69,55.27,57.84,60.42,63,66,69.45,71.67,74.25,76,79.49,79,83.45,84,84.56,88.24
Austria,33.73,39.19,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.62,81,83.94,84.32
Bahrain,6.15,15.04,18.05,21.55,21.46,21.3,28.24,32.91,51.95,53,55,77,88,90,90.5,93.48,98
Belgium,29.43,31.29,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.61,80.72,82.17,85,85.05,86.52
Brazil,2.87,4.53,9.15,13.21,19.07,21.02,28.18,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55,58.33,60.87
Canada,51.3,60.2,61.59,64.2,65.96,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,88.47,89.84
China,1.78,2.64,4.6,6.2,7.3,8.52,10.52,16,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2
Croatia,6.64,11.56,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.79,61.94,66.75,68.57,69.8,72.7
Czech Republic,9.78,14.7,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.11,74.23,75.67,76.48
Denmark,39.17,42.96,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.63,95.99,96.33,96.97
Dominican Rep.,3.7,4.43,6.82,7.9,8.87,11.48,14.84,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.22,61.33
Egypt,0.64,0.84,2.72,4.04,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89,37.82,41.25
Finland,37.25,43.11,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.51,86.53,86.42,87.7
France,14.31,26.33,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.92,83.75,84.69,85.62
Germany,30.22,31.65,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.27,82.35,84.17,86.19,87.59,89.65
Greece,9.14,10.94,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.65,55.07,59.87,63.21,66.84,69.09
Hong Kong. China,27.83,38.67,43.08,52.2,56.4,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.87,84.95,87.48
Hungary,7,14.53,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.02,70.58,72.64,75.65,72.83,79.26
India,0.53,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.5,10.07,12.58,15.1,21,26,29.55
Indonesia,0.93,2.02,2.13,2.39,2.6,3.6,4.76,5.79,7.92,6.92,10.92,12.28,14.52,14.94,17.14,21.98,25.37
Ireland,17.85,23.14,25.85,34.31,36.99,41.61,54.82,61.16,65.34,67.38,69.85,74.89,76.92,78.25,83.49,83.49,85.01
Italy,23.11,27.22,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.46,55.64,58.14,61.32
Japan,29.99,38.53,46.59,48.44,62.39,66.92,68.69,74.3,75.4,78,78.21,79.05,79.5,88.22,89.11,91.06,93.18
Jordan,2.62,4.71,6.03,8.47,11.66,12.93,13.87,20,23,26,27.2,34.9,37,41.4,46.2,60.11,62.3
Korea (Rep.),44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.76,84.07,84.77,87.56,89.65,92.84
Macao. China,13.61,22.52,25.17,25.74,31.48,34.86,46.4,47.33,49.24,54,55.2,60.2,61.31,65.8,69.78,77.6,81.64
Malaysia,21.38,26.7,32.34,34.97,42.25,48.63,51.64,55.7,55.8,55.9,56.3,61,65.8,57.06,63.67,71.06,78.79
Mexico,5.08,7.04,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.18,39.75,43.46,44.39,57.43,59.54
Morocco,0.69,1.37,2.37,3.35,11.61,15.08,19.77,21.5,33.1,41.3,52,46.11,55.42,56,56.8,57.08,58.27
Netherlands,43.98,49.37,61.29,64.35,68.52,81,83.7,85.82,87.42,89.63,90.72,91.42,92.86,93.96,91.67,91.72,90.41
Norway,52,64,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.49,94.65,95.05,96.3,96.81,97.3
Poland,7.29,9.9,21.15,24.87,32.53,38.81,44.58,48.6,53.13,58.97,62.32,61.95,62.31,62.85,66.6,68,73.3
Portugal,16.43,18.09,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.25,60.34,62.1,64.59,68.63,70.42
Romania,3.61,4.54,6.58,8.9,15,21.5,24.66,28.3,32.42,36.6,39.93,40.01,45.88,49.76,54.08,55.76,59.5
Russian Federation,1.98,2.94,4.13,8.3,12.86,15.23,18.02,24.66,26.83,29,43,49,63.8,67.97,70.52,73.41,73.09
Saudi Arabia,2.21,4.68,6.38,8,10.23,12.71,19.46,30,36,38,41,47.5,54,60.5,64.71,69.62,73.75
Singapore,36,41.67,47,53.84,62,61,59,69.9,69,69,71,71,72,80.9,79.03,79.01,81
South Africa,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10,24,33.97,41,46.5,49,51.92,54
Spain,13.62,18.15,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.09,69.81,71.64,76.19,78.69,80.56
Sweden,45.69,51.77,70.57,79.13,83.89,84.83,87.76,82.01,90,91,90,92.77,93.18,94.78,92.52,90.61,89.65
Switzerland,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19,85.2,86.34,87.4,87.48,89.13
Thailand,3.69,5.56,7.53,9.3,10.68,15.03,17.16,20.03,18.2,20.1,22.4,23.67,26.46,28.94,34.89,39.32,47.5
Tunisia,2.75,4.3,5.25,6.49,8.53,9.66,12.99,17.1,27.53,34.07,36.8,39.1,41.44,43.8,46.16,46.5,49.6
Turkey,3.76,5.19,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.07,45.13,46.25,51.04,53.74,58.35
United Arab Emirates,23.63,26.27,28.32,29.48,30.13,40,52,61,63,64,68,78,85,88,90.4,90.5,90.6
United Kingdom,26.82,33.48,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.38,87.48,89.84,91.61,92,94.78
United States,43.08,49.08,58.79,61.7,64.76,67.97,68.93,75,74,71,71.69,69.73,74.7,71.4,73,74.55,76.18
Viet Nam,0.25,1.27,1.85,3.78,7.64,12.74,17.25,20.76,23.92,26.55,30.65,35.07,36.8,38.5,41,43.5,46.5
Zimbabwe,0.4,0.8,1.1,1.8,2.1,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.36,22.74,23.12
Average,9.53,11.78,14.91,17.54,20.04,22.14,24.71,26.34,29.06,31.65,34.82,37.87,40.33,43.31,46.25,49.23,51.94
