Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,17.51,17.99,17.33,20.47,34.89,56.6,79.65,101.08,115.17,128.64,138.47,145.77,152.81,158.35,142.47,142.43,145.33
Australia,44.91,57.77,65.06,72.84,82.61,91.01,96.05,101.5,103.64,102.12,101.72,105.82,106.64,107.73,106.75,108.28,110.05
Austria,75.81,80.78,82.81,88.97,97.26,104.98,112.03,119.25,129.71,136.61,145.55,153.93,159.53,154.73,150.03,155.22,163.79
Bahrain,30.95,42.95,52.91,56.9,78.3,86.27,94.68,107.73,129.27,118.31,126.28,132.5,163.35,168.02,174.27,183.62,210.14
Belgium,54.75,74.59,78.17,82.6,87.13,91.07,92.73,100.38,105.22,108.42,111.11,113.46,111.1,110.44,113.51,113.17,110.5
Brazil,13.23,16.17,19.36,25.41,35.51,46.12,52.86,63.33,78.06,86.91,100.07,117.95,123.81,133.94,137.47,125.18,117.54
Canada,28.39,34.32,37.9,42.02,47.01,52.7,57.43,61.41,66.14,70.47,75.58,77.71,79.43,80.44,80.86,82.8,84.74
China,6.64,11.22,15.86,20.66,25.48,29.77,34.69,40.94,47.7,55.26,63.17,72.12,80.87,88.89,92.52,92.48,97.25
Croatia,23.33,39.81,52.61,57.81,64.68,83.36,100.56,115.41,104.65,107.69,113.87,118.59,115.71,110.36,104.79,104.24,104.77
Czech Republic,42.24,67.64,83.98,94.82,105.3,114.8,120.47,127.73,132.2,124.56,122.76,124.59,127.72,129.49,131.27,117.45,117.66
Denmark,62.97,73.91,83.34,88.49,95.63,100.51,107.05,115.32,119.27,123.65,115.59,128.49,129.98,124.71,126.42,124.44,122.29
Dominican Rep.,8.24,14.6,19.25,23.33,27.84,39.22,49.15,58,74.82,88.35,89.84,87.47,87.98,89.49,79.8,83.56,81.78
Egypt,1.95,3.92,6.19,7.84,10.14,17.75,23.03,37.84,51,67.12,84.01,97.12,110.23,111.02,103.82,100.25,102.2
Finland,71.87,80.29,86.64,90.82,95.15,100.21,107.44,114.76,128.39,144.12,156.36,165.89,172.18,136.32,139.25,134.92,133.85
France,48.74,61.75,64.07,68.87,73.16,78.53,83.88,89.34,93.01,92.39,91.68,94.43,97.83,99.07,101.92,103.45,104.4
Germany,59.15,68.84,72.45,79.33,87.28,97.06,105.04,118.3,130.07,129.68,109.28,112.31,113.98,123.1,122.14,117.93,126.31
Greece,53.24,71.2,83.04,79.48,82.73,90.79,96.83,108.03,120.84,116.18,107.4,106.17,117.42,110.58,107.81,112.02,112.12
Hong Kong. China,81.75,85.93,94.62,108.35,120.75,125.14,137.66,155.86,166.85,180.39,196.35,216.44,230.6,237.43,235.73,230.82,240.8
Hungary,30.1,48.73,67.72,78.33,86.28,92.4,99.1,110.04,122.35,118.41,120.99,118.1,117.32,117.77,119.5,120.46,120.78
India,0.34,0.61,1.19,3.04,4.64,7.88,14.29,19.8,28.98,43.24,61.1,71.67,68.46,69.32,72.96,76.47,85.17
Indonesia,1.73,3.04,5.38,8.39,13.57,20.69,27.76,40.08,59.53,68.39,87.12,101.67,113.29,124.28,127.61,131.29,147.66
Ireland,63.94,75.97,75.45,86.43,93.49,101.35,108.99,113.02,112.44,102.99,101.61,105.23,107.17,104.25,104.83,104.3,103.15
Italy,73.74,89.11,93.77,97.63,107.27,121.58,136.12,151.4,151.83,150.96,156.82,160.71,162.7,162.34,150.9,147.37,153
Japan,52.37,58.58,63.42,67.66,71.34,75.18,77.73,83.53,85.88,90.46,95.9,103.31,109.89,115.26,123.17,125.46,130.61
Jordan,7.62,16.67,23.07,24.56,29.34,54.91,73.19,77.05,81.88,88.17,92.17,98.78,112.41,122.59,125.92,150.64,103.84
Korea (Rep.),56.59,60.88,67.37,69.6,75.44,78.72,82.21,90.43,92.66,97.09,102.45,105.55,107.35,108.99,113.7,116.49,120.68
Macao. China,32.96,44.39,61.51,79.11,91.73,110.4,128.99,157.66,181.32,197.48,209,246.29,286.82,299.08,315.3,315.52,321.8
Malaysia,22.09,31.16,37.41,45.06,58.04,76.17,74.45,87.69,102.22,109.2,120.44,128.03,141.67,144.77,148.63,143.55,140.8
Mexico,13.84,21.11,24.85,28.49,35.94,43.45,50.32,59.52,66.25,72.03,77.89,79.42,83.36,87.12,84.48,85.54,87.6
