Countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,21.3,21.7,20.34,22.46,22.62,24.12,23.91,23.77,24.13,23.94,24.05,23.34,22.46,22.71,22.85,23.2,22.67
Australia,52.71,52.21,53.4,53.1,51.98,50,48.31,46.59,43.9,49.26,48.03,47.03,45.88,44.71,39.15,35.71,33.91
Austria,49.53,49.36,47.74,47.42,46.5,45.3,43.51,40.99,39.4,38.86,40.4,40.05,39.68,38.87,40.76,41.6,40.95
Bahrain,25.73,24.92,23.87,23.85,23.08,21.76,20.26,19.65,19.77,20.08,18.37,21.63,23.03,22.16,21.3,20.42,19.64
Belgium,48.98,49.73,47.58,46.79,45.81,45.46,44.52,45.31,43.92,42.69,42.42,42.08,41.82,41.13,40.4,39.77,38.48
Brazil,17.64,21.06,21.54,21.48,21.42,21.32,20.53,20.63,21.37,21.29,21.41,21.66,22.09,22.25,21.61,21.21,20.15
Canada,67.8,68.09,65.84,65.17,64.36,56.21,55.86,55.37,54.63,55.37,53.83,52.91,50.79,48,46.07,43.43,41.76
China,11.29,13.97,16.5,20.11,23.73,26.52,27.67,27.35,25.32,23.2,21.65,20.85,20.23,19.31,17.94,16.53,14.72
Croatia,38.87,40.4,41.52,42.64,43.06,43,41.89,42.33,43.15,42.83,43.11,42.84,40.58,39,36.85,34.86,34.08
Czech Republic,37.63,37.59,35.85,35.42,33.47,31.36,28.04,23.2,23.77,24.1,22.47,20.85,20,18.89,18.89,17.98,16.57
Denmark,71.8,72.13,68.88,67.09,64.62,61.76,56.91,51.65,54.11,50.2,47.05,44.45,40.98,37.15,33.06,29.83,27.26
Dominican Rep.,10.44,10.98,10.29,10.13,9.91,9.7,9.57,9.54,10.23,9.88,10.23,10.97,11.12,11.39,11.78,12.39,12.63
Egypt,7.84,9.4,10.74,11.81,12.55,13.54,13.83,14.12,14.64,12.51,11.44,10.14,9.75,7.6,6.88,6.65,6.39
Finland,54.91,53.96,52.28,49.12,45.17,40.31,36.19,32.84,31.02,26.77,23.3,20.04,16.43,13.84,11.7,9.8,8.31
France,57.02,56.89,56.66,56.01,55.35,55.05,55.4,56.16,56.31,65.3,64.45,63.73,62.4,61.14,60.45,60.4,60.27
Germany,61.63,64.18,65.76,66.39,66.73,67.09,66.72,65.28,62,66.32,65.39,63.51,61.8,59.93,57.7,55.5,53.84
Greece,50.79,50.14,56.11,56.04,56.36,55.85,54.42,48.06,46.01,52.43,51.53,50.29,48,47.63,47.22,46.89,46.5
Hong Kong. China,58.91,57.98,56.69,56.12,55.32,55.55,55.91,61.02,60.27,61.25,62.09,61.45,61.66,61.82,61.41,59.78,59.13
Hungary,37.16,36.71,36.09,35.52,35.23,33.86,33.42,32.43,30.97,30.81,29.99,29.63,30,30.26,30.69,31.63,31.99
India,3.08,3.6,3.8,3.79,4.1,4.39,3.51,3.33,3.17,3.05,2.85,2.63,2.45,2.27,2.09,1.95,1.84
Indonesia,3.15,3.37,3.56,3.65,4.64,5.96,6.45,8.38,12.86,14.54,16.88,15.72,15.26,12.19,10.28,4.02,4.12
Ireland,47.6,47.58,49.67,48.28,48.8,48.71,50.58,51.35,49.51,46.67,44.91,43.89,42.92,43.45,43.16,41.11,40.14
Italy,47.39,47.57,46.96,45.74,44.37,42.59,45.52,37.79,37.04,37.96,37.73,36.99,36.41,35.36,34.54,33.96,34.1
Japan,48.58,48.01,47.51,47.02,46.49,45.24,43.63,39.87,37.67,51.95,51.04,50.32,50.01,49.89,49.59,49.78,50.18
Jordan,12.15,12.71,12.76,11.54,11.52,10.99,10.35,9.03,8,7.35,6.76,6.14,5.44,4.5,4.26,4.03,4.27
Korea (Rep.),54.58,54.02,53.61,52.06,48.6,49.08,45.88,46.89,49.49,54.46,57.6,59.24,60.26,60.46,58.51,57.09,55.2
Macao. China,41.32,40.28,39.23,37.95,36.89,36.14,35.81,35.33,34.2,32.45,31.36,30.27,28.89,27.51,26.09,24.32,23.2
Malaysia,19.96,19.87,19.3,18.52,17.66,17.01,16.61,16.34,16.65,16.39,16.4,15.79,15.73,15.27,14.59,14.61,15.51
Mexico,12.12,13.36,14.35,15.46,16.89,17.99,18.04,17.88,18.03,16.89,16.98,16.79,17.04,15.17,14.94,15.36,16.04
Morocco,4.94,4.08,3.82,4.09,4.34,4.39,4.1,7.67,9.47,10.99,11.57,10.85,9.84,8.65,7.25,6.39,5.87
Netherlands,62.09,50.93,49.82,48.43,48.26,46.43,45.32,44.86,44.16,43.64,43.35,42.62,42.78,42.31,41.13,41.04,39.88
Norway,53.36,51.69,50.97,48.93,47.42,45.52,43.98,42.13,39.81,36.69,33.72,30.77,27.85,24.36,21.03,18.16,15.34
Poland,28.39,29.59,30.82,31.98,32.69,30.85,29.93,27.37,24.67,22.16,20.01,17.88,15.53,21.55,25.41,23.66,21.3
Portugal,41.73,42.17,41.66,40.82,40.26,40.07,40.02,39.55,39.05,40.6,42.11,42.75,43.07,43.03,43.82,44.95,46.16
Romania,17.62,18.72,19.29,19.93,20.32,20.45,19.76,20.99,22.81,22.94,22.02,23.06,23.05,23.52,22.83,21.48,20.78
